order_index,speaker,text
9,Bernard,"It's awful, isn't it?"
10,Humphrey,"What is awful, Bernard?"
11,Bernard,"Well, all these jobs going. Interest rates. Repossessions. Fear of inflation. Foreclosures."
12,Humphrey,Oh yes. Terrible.
13,Bernard,"You don't sound terribly worried, Sir Humphrey."
14,Humphrey,"Bernard, I am not being sacked, repossessed, inflated or foreclosed. Neither are you."
15,Bernard,Nor's the Prime Minister. But he's worried stiff.
16,Humphrey,So he should be.
17,Bernard,You don't sympathise with him?
18,Humphrey,"That's the deal. That's how Prime Ministers' careers go. They get to be on the front page every day for years, which they love. They travel the long path from euphoric triumph to ignominious failure and then make way for the next saviour of the nation. It's called democracy."
19,Bernard,It beats me why anyone would want to be Prime Minister.
20,Humphrey,"It's the only top job that requires no previous experience, no training, no qualifications and limited intelligence."
21,Bernard,"Sir Humphrey ... You do believe in democracy, don't you?"
22,Humphrey,"Do I, Bernard? Actually no, not as most people understand it. Democracy should nor be about executing the will of the people. It should be the process whereby we secure the consent of the people to the policies of those qualified to decide on their behalf."
23,Bernard,Like who?
24,Humphrey,"Like us, Bernard."
25,Bernard,"I believe in democracy, Sir Humphrey."
26,Humphrey,"It does you credit. And if all the voters were as informed and intelligent as - say - me, or even you, it could possibly work. But that's hardly realistic."
27,Bernard,"Well, obviously we have to stop the government making stupid mistakes. If I did everything the Prime Minister told me to do, I'd be fired within a week, and rightly so. But I am there to help him."
28,Humphrey,"Bernard, we have a leadership crisis in this country. If the government can't or won't exercise it, it falls ro us, whether we want it or not."
29,Bernard,I know. Power abhors a vacuum.
31,Humphrey,"And we are currently led by one. We should exercise power because we have nothing to gain or lose personally: we have respectable salaries, honours, an office and a chauffeur ..."
32,Bernard,I haven't got a chauffeur ...
33,Humphrey,"You will, Bernard, when you grow up. We end up with an index-linked pension, a bank directorship, a couple of nicely remunerated quangos and a cottage in the Dordogne. So we can be entirely even-handed in our judgements and make them in the public interest."
34,Bernard,"Well, things may not seem so bad soon, when we tell the Prime Minister about Kumranistan."
36,Humphrey,Bernard! Do not mention the ECB co the Prime Minister. You know his views.
37,Bernard,I know he's afraid that Brussels will take away most of his powers.
38,Humphrey,"They already have. And so they should. All we need him to do is preside at tonight's dinner, pretend he's read the Kumranistan plan, and leave the rest to us."
39,Jim,"Hacker, the Prime Minister; enters right. He is followed by a Driver carrying a pile of five Red Boxes."
40,Jim,"Sorry I'am late, it's been a terrible day."
41,Humphrey,Any particular reason?
43,Jim,You've read about the Cabinet split?
44,Humphrey,Yes.
45,Jim,You've seen what's happened to the Footsie and the pound?
47,Humphrey,Yes.
48,Jim,So how many particular reasons do you want?
49,Humphrey,Well ...
50,Jim,And now this Lancaster House conference is turning into a catastrophe.
51,Humphrey,"It was your idea to convene it, Prime Minister."
52,Jim,"Humphrey, if you become President of Europe in the middle of the biggest financial crisis for a generation -"
53,Bernard,"Um - with respect, Prime Minister, there is a President of the European Union and it's not you. What the UK Government currently has - not you personally - is the Presidency of the European Council."
54,Jim,"He's President of the Union, I'm President of the Council."
55,Humphrey,"No, Prime Minister, the President of the European Union itself is the Belgian Prime Minister ..."
56,Jim,Who is completely unknown!
57,Humphrey,"Well, obviously! He's Belgian."
58,Jim,"And not elected. Appointed. In secret! Course, you wouldn't have a problem with that, would you, Humphrey?"
59,Humphrey,"You do me an injustice. I am all in favour of elections. Provided the right people do the voting. But the difference, as far as you're concerned, is between being head of an empire of five hundred million people and chairing the Council of Ministers for six months."
60,Jim,"Humphrey, we were talking about why I convened the conference on this dreadful recession. I had to do something."
61,Humphrey,And the conference was something. So you did it! Well done.
62,Jim,"But now it's falling apart, which might just finish me."
63,Humphrey,"It may not be falling apart, Prime Minister."
64,Jim,Haven't you been reading the conference reports?
65,Humphrey,I have. Have you?
66,Jim,"The spadework wasn't done properly. The Foreign Secretary and the Chancellor let me down badly. Instead of having everything nailed down before they all convened, they left it to chance. Useless! We only just won re-election and they're plotting to get rid of me already!"
67,Bernard,'Forsan miseros meliora sequentur.'
68,Jim,What?
69,Bernard,"'For those in misery, perhaps better things will follow.'"
70,Humphrey,"Well said, Bernard."
71,Bernard,I didn't actually say that. That was Virgil.
72,Humphrey,"I know chat, Bernard."
73,Bernard,"At least I did say it, just now, but not originally."
74,Humphrey,"Thank you, Bernard. We get the point."
75,Jim,"It was completely predictable: the Krauts don't want a stimulus plan, they're terrified of runaway inflation, that's what destroyed the Weimar Republic and brought them Hitler. The Wops and the Dagoes are up to their armpits in debt already. The Frogs only want it if France gets aII the benefits ..."
76,Bernard,"(interrupts) Prime Minister, I really think you should stop using these pejorative epithets to describe our allies, they might slip our in public sometime."
77,Jim,"Quite right, Bernard. Thank you. And the Micks and the Polacks aren't getting the subsidies they were promised, which they regard as a betrayal. So it's time for me to get hands-on and give some leadership."
78,Humphrey,Good.
79,Jim,"So - tell me, what should I do?"
80,Humphrey,That's just the kind of leadership we need.
81,Jim,Thank you. Humphrey.
82,Humphrey,"And we have good news for you, Prime Minister..."
83,Bernard,Late last night we had a breakthrough at Lancaster House. A new player appeared on the scene.
84,Jim,The Americans? Are they coming after all?
85,Humphrey,"No, their position is immutable. They won't come to the conference because you wouldn't let them chair it."
86,Jim,"I can't let them chair a European conference, Humphrey. Look at the map!"
87,Humphrey,"It could become an international conference, if that would save the whole European financial system from melting down again."
88,Jim,"Don't be silly, Humphrey. I'd lose face."
89,Humphrey,"Oh yes, of course. Silly me."
90,Bernard,"Prime Minister, Kumranistan has joined us."
91,Jim,Has it? Good. (A beat.) Have I heard of them?
92,Humphrey,They have oil. Massive new reserves have been found. They're offering a possible ten-trillion-dollar loan to Europe. Secured against future purchases.
93,Jim,But - that could solve everything.
94,Humphrey,Yes.
95,Jim,Save the conference!
96,Bernard,Yes.
97,Jim,"Save Europe, in fact! (In his own world.) 'TRIUMPH FOR PRIME MINISTER!' 'VICTORY FOR RESIDENT OF EUROPE!'"
98,Humphrey,With respect ...
99,Jim,"(firmly) Victory for a President of Europe, Humphrey."
100,Bernard,It might even save your job.
101,Jim,My job's perfectly safe. Other people have survived with small majorities. Wilson had a majority of four in 1964. He lasted six years.
102,Humphrey,"I was never awfully good sums but - um, four would be exactly double the size of your majority, am I right?"
103,Jim,So?
104,Humphrey,"He had to fight a second election pretty soon, to get a working majority."
105,Bernard,And Wilson had hair.
106,Jim,"(dangerously) What are you saying, Bernard?"
107,Bernard,"Nothing. Only that... well, no Prime Minister or US President has been elected without a full head of hair since Eisenhower or Churchill in the 1950s. So I'm, um, saying that you did magnificently to win a majority of two."
108,Jim,(bitterly) Thad hair when I was first elected. I lost my hair in the service of my country.
109,Humphrey,The Kumranisran deal may solve your problems.
110,Jim,Fine. Where do I sign?
111,Humphrey,We're not quite there yet. They want something in exchange.
112,Bernard,You know where Kumranistan is?
113,Jim,"Yes. (A beat.) Well, sort of. You know, over there."
114,Bernard,"It lies in Turkestan, north of Kazakstan, Uzbekistan, and Afghanistan. (Goes to a globe.) Here, in fact."
115,Jim,As I said. Exactly.
116,Humphrey,They had been planning to take their oil to Europe through the Soviet pipeline.
117,Jim,"They're not Soviets any more, Humphrey. They haven't been Soviets for twenty years."
118,Humphrey,"They still are in spirit, and always will be."
119,Bernard,"The, um, Russians want a pretty huge payment -"
120,Humphrey,"Which Kumranistan doesn't want to pay, since the Soviets will have their hands on the pipeline tap."
121,Bernard,"So, with a little prompting from us: Plan B! A pipeline through Turkey, Greece and southern Europe, avoiding Russia altogether."
122,Humphrey,What they need is European agreement. And that's what they're prepared to lend us ten trillion dollars for.
123,Jim,Why?
124,Humphrey,They want the guarantee of future oil purchases by everyone in the EU.
125,Jim,(a beat) I don't get it.
126,Humphrey,"It's awfully simple, Prime Minister. Kumranistan will lend Europe the money to buy Kumranistan's oil."
127,Jim,And Europe borrows another ten trillion? More debt?
128,Humphrey,"It's not a problem, it doesn't have to be repaid for years. We get the money now, interest free, and we repay it in the future when we buy the oil that we'll need anyway."
129,Jim,So where do they make their money?
130,Humphrey,We'll pay a premium on the oil. But that's not for many years.
131,Jim,Are all the Europeans on board?
132,Humphrey,"They are. And the problems are what we' ve been negotiating, as you will have seen in your Red Boxes."
133,Jim,Yes. Um - remind me.
134,Humphrey,"Well, as you'll doubtless remember, the Turks refused ro cooperate unless they were admitted to the European Community. I see their point. I've always had"
136,Jim,"Johnny Turk? (Sniggers.) You're on first-name terms, then?"
137,Humphrey,"(laughs mirthlessly) Very droll, Prime Minister. Turkey is an important ally, the only Muslim country with a secular democracy. We need -"
138,Jim,"(interrupting) - Johnny Turk, yes."
139,Bernard,"Germany, France and Italy were against the plan on principle."
140,Jim,What changed their minds?
141,Humphrey,A ten-trillion-dollar loan.
142,Bernard,"That surprised me, Sir Humphrey. Surely, if a principle was involved ...?"
143,Humphrey,"I think you'll find ten trillion dollars is a bit above the going rate for principles in the EU, Bernard."
144,Jim,What was the principle?
145,Humphrey,They don't like Muslims.
146,Jim,Oh. Ah.
147,Bernard,"Anyway, everything is agreed. Everyone gets a share in the construction."
149,Bernard,"Here's the route. That helped, of course,"
150,Jim,We're saved! But why didn't I know about all this?
151,Humphrey,It's top secret.
152,Jim,"Good God, Humphrey, I'm the Prime Minister!"
153,Humphrey,"(soothing) I know, Prime Minister, and what an excellent Prime Minister you are! But it had to be kept under wraps. If it had leaked this week, money markets would have gone mad..."
154,Jim,I' see. Well... is that everything I need to know?
155,Bernard,There's one other thing.
156,Humphrey,(warning) Bernard ...
158,Bernard,A power group in Kumranistan still wants the Russian route.
159,Humphrey,"Ah. (Relaxes.) Yes, Bernard's right, they don't want to upset the Soviets. It's understandable, they share a border. But the Kumranistani Foreign Secretary has come over here to put the deal to us if we want it."
160,Jim,Invite him to dinner! Tonight!
161,Bernard,"I did, Prime Minister."
162,Humphrey,"(slowly, patiently) That's why we're here."
163,Jim,And he can do the deal? Now?
164,Humphrey,"He has the authority. But he needs careful handling, they're very sensitive about respect."
165,Jim,"I know, those Middle-Eastern types... (Chuckles) So insecure, always so worried about losing face. (Catches himself) Though sometimes, of course, that's perfectly reasonable. But you get an awful lot of respect for ten trillion dollars. He can have all of mine, for a start."
166,Humphrey,"Excellent, Prime Minister."
168,Jim,Bernard.
169,Bernard,"Yes, Prime Minister?"
170,Jim,There's something you're not happy about. What is it?
171,Bernard,Oh. Um ... um ... I'm not sure I can -
172,Jim,"Spit it out, Bernard."
173,Bernard,Um-'Timeo Danos et dona ferentes...'
175,Bernard,"'I fear the Greeks, especially when they bring gifts.' ... Remember the Trojan Horse, Prime Minister."
177,Jim,Clarie? you at Chequers yet?... Come to my study please... Now!
181,Jim,Ah. Claire. There's something I don't know about this pipeline plan. What is it that Humphrey isn't telling me? Bernard was blathering about Trojan Horses.
183,Jim,"I don't care about the mechanics, I'm not an engineer."
185,Jim,Is that important?
187,Jim,"We can't join the euro! It would be a catastrophe! Hand over control of interest rates? Control of exchange rates? Control of money supply? When I need to inflate to get re-elected, the ECB might deflate because of German price rises and I could get kicked out!"
189,Jim,And then there's Greece! And Portugal! They could drag down our recovery!
191,Jim,"(picks up phone) Bernard, tell Sir Humphrey that I want to see him ... No, any time within the next ten seconds will do."
195,Jim,"Ah, Humphrey. About this loan ..."
196,Humphrey,Prime Minister?
197,Jim,"It is all good news, isn't it?"
198,Humphrey,Tremendous news.
199,Jim,"There's no hidden snags? You know. Terms and conditions, penalty clauses, rough guarantees?"
200,Humphrey,Oh no. Nothing like that. Standard agreement.
201,Jim,An ordinary Treasury loan? As far as we're concerned?
202,Humphrey,(hesitates) In a sense. Yes.
203,Jim,In a sense?
204,Humphrey,In due course. Following agreed procedures. After certain formalities.
205,Jim,But the money goes straight to the Treasury?
206,Humphrey,"It goes to the Treasury, yes, of course."
207,Jim,Straight to the Treasury?
208,Humphrey,"Broadly speaking, yes. More or less."
209,Jim,Broadly speaking? How would you describe it if you were ... narrowly speaking?
212,Humphrey,"We get money, that's what matters."
213,Jim,Let me put this another way. Will the loan be in euros?
214,Humphrey,"Prime Minister, I urge you not to clutter your mind with procedural detail and monetary trivia."
215,Jim,"Humphrey. In words of one syllable, is this plan dependent on our abandoning sterling and joining the euro?"
216,Humphrey,"(chuckles) 'Dependent' has three syllables and 'abandoning' has four. (Checks his watch.) Seriously, Prime Minister, it's almost time for your dinner with the Foreign Minister of Kumranistan, you really mustn't be late."
217,Jim,Answer my question.
218,Humphrey,"All right, Prime Minister, you've asked a straight question and I'll give you a straight answer, which, however, clearly has to be considered in its proper context: in the course of all financial negotiations, certain provisos have to be preconditioned, various caveats have to be postulated, designated, investigated and specified and a number of considerations have to be determined, acknowledged and indeed sometimes conceded so that we are able to facilitate the finalisation of preliminary plans to create an epistemological basis for all parties to proceed towards a mutually beneficial consummation which will acknowledge and safeguard the viral interests of all the participants without jeopardising in any material way the underlying collective benefit ultimately accruing to the signatories or leaving unresolved such anomalies and irregularities that might precipitate operational uncertainties down the line, so that there will be a presumed modicum of ironclad reciprocity which in the great scheme of things will be to everybody's advantage."
219,Jim,Did that mean yes or no?
220,Humphrey,Don't you think yes and no are rather broad and unspecific in their application?
221,Jim,No. Is joining the euro a condition of getting the loan?
222,Humphrey,In the sense that ... if agreement is .. . at the end of the day ...
223,Jim,Humphrey!
224,Humphrey,"Yes, it is."
225,Jim,You were going to hide this from me until it was too late!
226,Humphrey,"No, but, yes, I mean, they all insisted ... the ECB insisted ... Prime Minister, it is the only way! You need this deal. I did it for you."
227,Jim,For me?
228,Humphrey,"Prime Minister, I'm trying to save you from yourself."
229,Jim,"Humphrey, do you know what comes with joining the euro?"
230,Humphrey,"The loan, European unity ..."
231,Jim,"An austerity package. Disastrous interest rates, public expenditure cuts, more interference from Brussels in every damn thing. No ECB. No euro. Or no deal!"
232,Humphrey,All the delegates have so many objections.
233,Jim,Ten trillion dollars' worth of objections?
235,Jim,As I thought. It would be the ultimate victory for Brussels. Britain becomes a mere outpost of the European empire.
236,Humphrey,Of which you're a President.
237,Jim,"Don't be silly, Humphrey, I just chair meetings for six months."
238,Humphrey,If you would just take another look at the computer models ...
239,Jim,No. Computer models got Britain into this whole financial mess.
240,Humphrey,That's different. Nobody knew that those computer models in the City were being given faulty information. Everyone assumed the mortgages were worth their face value.
241,Jim,But they were worth nothing! Why didn't anyone know? Why didn't you know?
242,Humphrey,"(sighs, humiliated) Everyone thought that everyone else understood what was going on and nobody wanted to admit they couldn't make sense of it."
243,Jim,Why couldn't they?
244,Humphrey,"Because it didn't make sense! Everybody thought that all the others knew, and there were some who knew, but the ones who didn't know didn't believe that the ones who did know knew."
245,Jim,Say that again?
246,Humphrey,Nobody wanted to rock the boat because everyone was making so much money!
247,Jim,"Computer models, Humphrey, are no different from fashion models: seductive, unreliable, easily corrupted, and they lead sensible people to make fools of themselves. And because you believed the computer models about the euro you tried to bounce your plan past me, and not tell me until it was too late. I'm appalled. I really don't know if we can go on working together."
248,Humphrey,Prime Minister!
249,Jim,I always thought I could trust you.
250,Humphrey,(anguished) You can!
251,Jim,"Quite frankly, I'm now profoundly suspicious of this whole pipeline plan. I mean, I don't know what else I don't know. Do you know?"
252,Humphrey,Do I know what you don't know?
253,Jim,Yes. Is there anything else I don't know that I should know?
254,Humphrey,"Well, I ... I hardly know where to begin."
255,Jim,"About this plan, I mean!"
257,Humphrey,"Prime Minister, you know everything that you need to know. If you want the loan, if you don't want your premiership to crash on rake-off, this is the way it has to be."
259,Bernard,"Drinks with Mr Aitikecv, the Kumranistani Foreign Secretary, are in five minutes, Prime Minister."
260,Jim,"Thank you, Bernard. At least I can believe what you tell me."
262,Humphrey,Shut the door.
264,Humphrey,Did you tell the Prime Minister about joining the euro?
265,Humphrey,"Well, what put him on to it?"
266,Bernard,Perhaps it was his Special Adviser.
267,Humphrey,That woman! How did she get here without our knowing?
268,Bernard,I expect he called her on his BlackBerry.
269,Humphrey,"Bernard! You're letting him make his own appointments? If you lose control over his diary, you lose control over him! You never know where it'll end. He'll start running the country."
270,Bernard,He can't. He doesn't know how to.
271,Humphrey,Of course he doesn't. So he must be stopped.
272,Bernard,But what can I do about it?
273,Humphrey,"Get rid of his BlackBerry, Bernard!"
274,Bernard,How?
275,Humphrey,Look. Give me yours.
277,Humphrey,Get me a paper clip.
279,Humphrey,You slide off.the back plate. Take out the battery. See that hole? It's the reset button. Push it in there. Right. Now it's scrambled for days.
281,Bernard,Sir Humphrey! I had no idea you understood technology.
282,Humphrey,I understand survival. You can practise while I'm at the dinner.
287,Jim,"Dinner went well, I thought. They liked my speech."
289,Jim,(gives her a look) What did you make of the Kumranistani Foreign Minister? You think he's really going to come up with this loan?
291,Jim,Then all we'll need is a few endorsements.
293,Jim,Yes. Do you remember the World Economic Forum at Davos? That really worked because Bob Geldof came out in support of it.
295,Jim,Bono. Great!
298,Bernard,"I wasn't there, I was busy with - other things."
299,Jim,"Pity, you'd have enjoyed my speech."
300,Bernard,"I'm sure, Prime Minister, but I beard the goulash was good."
301,Jim,(gives him a look) New cook.
302,Bernard,"Yes, and in connection with that, we have a situation. We've just discovered the cook here is in the UK illegally."
304,Jim,How? What the hell is the Home Office doing?
305,Bernard,I wonder if anyone will ever solve that perennial riddle.
306,Jim,"Plotting against me, I should imagine. The Home Secretary wants my job too."
308,Jim,"I'll reshuffle her to the graveyard: the Minister of Culture, Media and Sports. There's no coming back from there."
309,Bernard,I've never understood the connection between those three.
310,Jim,"Culture, Media and Sports? None of them matter."
312,Bernard,What do I do about this cook?
313,Jim,Where's she from?
314,Bernard,"She wouldn't say, apparently, but she's got a false EU passport."
315,Jim,Can't we just rush a visa through for her?
316,Bernard,"I'll try, but if you're right about the Home Office it'll take months. I think we have to let her go."
317,Jim,Right. We can't risk the media finding out. 'PRIME MINISTER HARBOURS ILLEGAL IMMIGRANT!' How did it come to light?
318,Bernard,One of the waiters mentioned it at dinner.
319,Jim,Somebody's probably phoned the BBC already.
321,Bernard,"Hello ... It's the BBC ... Oh, I see. Fine ... Ahl (He hangs up.)That was actually the Press Office. BBC Television's devoting their Sunday morning programme to you, Prime Minister."
322,Jim,Devoting it to me?
323,Bernard,No other stories. A full hour about you.
324,Jim,Should I be pleased?
325,Bernard,I fear not. It will be called Government in Crisis.
326,Jim,Christ!
327,Bernard,They want to interview you about the rumoured Cabinet reshuffle and the deadlock in the Lancaster House Conference.
329,Jim,If I could mention the Kumranistan loan ...
331,Jim,Phone them back. Pretend to be helpful.
334,Bernard,I haven't seen this before.
335,Jim,Supplied by the Press Office.
337,Bernard,"Good. (Dials.) Yes ... May I speak to Robin Simpson? (Listens.) Yes, it's Bernard Wolley here, the Prime Minister's Principal Private Secretary... He can't speak to you himself, but how can I help?"
342,Bernard,'The Prime Minister is not interested in Westminster tittle-tartle. He has the full support of his colleagues and his party on all matters of substance. It's business as usual.'
345,Bernard,(as be turns the page) You're serious asking me that?
347,Bernard,'The Prime Minister was elected to do a job and he intends to get on with it. It will mean rough decisions but that's what the country expects and that's what he's going to do.' Next?
351,Bernard,"'This isn't a British crisis, it's a world crisis. Many countries are worse affected than we are. We intend to play our part within the community.'"
353,Jim,Two?
356,Bernard,'The government will do everything that needs to be done. He will not flinch from his duty and a statement will be made when the rime is ripe.'
358,Bernard,I don't think that.
360,Bernard,What?
363,Bernard,"No, sorry, that's the TV you can hear."
365,Bernard,Um ... (Flipping page to read number five.) 'The meeting stroke conference has certainly not been a failure. There has been invaluable groundwork and a blueprint is being drawn up for the next phase. Rome wasn't built in a day.' (Listens.) Thank you.
366,Jim,What's she thanking you for?
367,Bernard,(hand over mouthpiece) She says I've been thoroughly unhelpful.
368,Jim,"Well done, Bernard."
369,Bernard,(into phone) What? ... How happy is the Prime Minister about his future?
370,Jim,I'm as happy as a ratcatcher on a rubbish dump.
371,Bernard,The Prime Minister is as happy as an Environmental Health Officer on a Civic Amenity Site.
373,Jim,"I hate the BBC. Always waxing indignant. Nasty, rude, arrogant, aggressive, ungraceful people who all think they could do better than me. They have their own political line. It's like having three Oppositions: one at Westminster and two others at Broadcasting House and the TV Centre."
375,Bernard,"Yes? ... Oh, Ms Simpson again ... What kind of leak? ... About joining the euro?"
